ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
622, White-tailed Deer,"(34.7667323, -98.7003443)",34.7667323,-98.7003443
875, White-tailed Deer,"(34.78242, -86.997429)",34.78242,-86.997429
633, White-tailed Deer,"(34.8342463, -86.9901321)",34.8342463,-86.9901321
830, White-tailed Deer,"(34.9550817, -97.2684063)",34.9550817,-97.2684063
30, White-tailed Deer,"(35.043997, -97.984935)",35.043997,-97.984935
803, White-tailed Deer,"(35.075567, -80.834022)",35.075567,-80.834022
346, White-tailed Deer,"(35.1783637, -96.969909)",35.1783637,-96.969909
609, White-tailed Deer,"(35.2048883, -92.4479108)",35.2048883,-92.4479108
499, White-tailed Deer,"(35.2590371, -77.6484879)",35.2590371,-77.6484879
899, White-tailed Deer,"(35.2831727, -86.3739827)",35.2831727,-86.3739827
493, White-tailed Deer,"(35.4094178, -80.5800049)",35.4094178,-80.5800049
897, White-tailed Deer,"(35.4726626, -77.4155203)",35.4726626,-77.4155203
679, White-tailed Deer,"(35.6413986, -97.417136)",35.6413986,-97.417136
657, White-tailed Deer,"(35.6729639, -79.0392919)",35.6729639,-79.0392919
717, White-tailed Deer,"(35.6729639, -79.0392919)",35.6729639,-79.0392919
949, White-tailed Deer,"(35.714259, -83.5101638)",35.714259,-83.5101638
962, White-tailed Deer,"(35.81747815, -78.72679463866658)",35.81747815,-78.72679464
13, White-tailed Deer,"(35.8428646, -90.7034522)",35.8428646,-90.7034522
255, White-tailed Deer,"(35.891272, -75.9626915)",35.891272,-75.9626915
806, White-tailed Deer,"(35.898043, -86.8682342)",35.898043,-86.8682342
807, White-tailed Deer,"(35.898043, -86.8682342)",35.898043,-86.8682342
930, White-tailed Deer,"(35.9038746, -86.8673845)",35.9038746,-86.8673845
804, White-tailed Deer,"(35.91762, -78.578818)",35.91762,-78.578818
827, White-tailed Deer,"(35.9367711, -78.7885788)",35.9367711,-78.7885788
826, White-tailed Deer,"(35.9380533, -78.78299)",35.9380533,-78.78299
268, White-tailed Deer,"(35.952516, -79.042826)",35.952516,-79.042826
457, White-tailed Deer,"(35.9533864, -83.6875933)",35.9533864,-83.6875933
535, White-tailed Deer,"(35.9672625, -94.2280656)",35.9672625,-94.2280656
145, White-tailed Deer,"(35.9859998, -83.9375598)",35.9859998,-83.9375598
