ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
358, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
359, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
361, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
365, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
376, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
277, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
285, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
625, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
672, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
577, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
530, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
862, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
910, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
720, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
815, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
767, Polar Bear,"(77.5736422589, -75.5233751774)",77.57364226,-75.52337518
419, Polar Bear,"(77.6192349, -42.8125967)",77.6192349,-42.8125967
183, Polar Bear,"(78.51240255, 16.60558240163109)",78.51240255,16.6055824
386, Polar Bear,"(78.51240255, 16.60558240163109)",78.51240255,16.6055824
437, Polar Bear,"(78.51240255, 16.60558240163109)",78.51240255,16.6055824
621, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
609, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
656, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
668, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
514, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
561, Polar Bear,"(78.7198519, 20.3493328)",78.7198519,20.3493328
